asset,time,AdrActCnt,HashRate,PriceUSD,SplyCur,TxTfrCnt
btc,2015-12-11T00:00:00.000000000Z,466766,629152.109263344,453.86148012858,14948511.13394046,469891
btc,2015-12-12T00:00:00.000000000Z,527840,637016.510629136,435.85572238457,14952561.13393043,525374
btc,2015-12-13T00:00:00.000000000Z,484886,558372.496971217,434.403466393922,14956111.1339303,513766
btc,2015-12-14T00:00:00.000000000Z,520571,766779.133164702,442.991689655173,14960986.1339301,501427
btc,2015-12-15T00:00:00.000000000Z,495314,719592.724969951,464.617871712449,14965561.13385338,530193
btc,2015-12-16T00:00:00.000000000Z,487898,640948.711312032,454.142492402104,14969636.13382056,491526
btc,2015-12-17T00:00:00.000000000Z,453218,609491.105848864,456.240134611338,14973511.13382042,462521
btc,2015-12-18T00:00:00.000000000Z,459189,684510.337699163,463.175769725307,14977736.13382039,476558
btc,2015-12-19T00:00:00.000000000Z,497028,729321.303625075,461.399907948568,14981661.13382033,528607
btc,2015-12-20T00:00:00.000000000Z,481622,766484.172599601,442.15399006429,14985786.13376031,520106
btc,2015-12-21T00:00:00.000000000Z,505331,692158.434650549,437.640129456458,14989511.13376028,529477
btc,2015-12-22T00:00:00.000000000Z,479097,696803.793272365,435.268379018118,14993261.13376013,495637
btc,2015-12-23T00:00:00.000000000Z,478167,729321.303625075,442.665727060199,14997186.13375983,484345
btc,2015-12-24T00:00:00.000000000Z,456965,641059.489810576,455.878713033314,15000636.13375977,484270
btc,2015-12-25T00:00:00.000000000Z,367825,752548.096734154,455.718825832846,15004686.13375975,391172
btc,2015-12-26T00:00:00.000000000Z,416167,794356.324330496,418.221531560491,15008961.13375974,464742
btc,2015-12-27T00:00:00.000000000Z,408582,952298.517472232,422.705894506137,15014086.13375937,439625
btc,2015-12-28T00:00:00.000000000Z,413657,701449.151894181,421.052879602572,15017861.13375936,411388
btc,2015-12-29T00:00:00.000000000Z,427804,738612.020868707,431.340021332554,15021836.13375907,424891
btc,2015-12-30T00:00:00.000000000Z,397910,766484.172599601,426.043646990064,15025961.13375896,401086
btc,2015-12-31T00:00:00.000000000Z,353317,702681.498032921,429.677153419053,15029511.13374743,339193
btc,2016-01-01T00:00:00.000000000Z,316781,697129.166405806,434.678006428989,15032886.13374194,320580
btc,2016-01-02T00:00:00.000000000Z,417966,748768.363917347,434.439877264757,15036511.1337419,405602
btc,2016-01-03T00:00:00.000000000Z,398443,748768.363917347,430.136180011689,15040136.13374189,432531
btc,2016-01-04T00:00:00.000000000Z,413159,934669.474958895,433.44897106955,15044661.13374178,419538
btc,2016-01-05T00:00:00.000000000Z,435291,810735.400931196,432.669502630041,15048586.13374084,438135
btc,2016-01-06T00:00:00.000000000Z,381359,728112.684912731,430.677869666862,15052111.13373527,377133
btc,2016-01-07T00:00:00.000000000Z,432867,759096.203419655,459.208940093513,15055786.13373498,459852
btc,2016-01-08T00:00:00.000000000Z,405522,893358.116949662,454.134423728814,15060111.1337344,411240
btc,2016-01-09T00:00:00.000000000Z,461784,779751.882424272,449.845216247808,15063886.13373428,501477
btc,2016-01-10T00:00:00.000000000Z,427477,903685.95645197,448.580216247808,15068261.13373425,443434
